{'lat': 26.377696667, 'lng': 127.822431667, 'alt': 37.4, 'datetime': '2018-11-26 13:20:03.291215'}
{'lat': 26.377696667, 'lng': 127.822431667, 'alt': 37.3, 'datetime': '2018-11-26 13:20:04.725870'}
{'lat': 26.377695, 'lng': 127.82243, 'alt': 37.3, 'datetime': '2018-11-26 13:20:05.247510'}
{'lat': 26.377691667, 'lng': 127.822428333, 'alt': 37.3, 'datetime': '2018-11-26 13:20:06.275389'}
{'lat': 26.377675, 'lng': 127.822421667, 'alt': 36.6, 'datetime': '2018-11-26 13:20:07.290069'}
{'lat': 26.37767, 'lng': 127.822413333, 'alt': 36.5, 'datetime': '2018-11-26 13:20:08.291524'}
{'lat': 26.37767, 'lng': 127.822411667, 'alt': 36.0, 'datetime': '2018-11-26 13:20:09.764260'}
{'lat': 26.377671667, 'lng': 127.822413333, 'alt': 35.6, 'datetime': '2018-11-26 13:20:10.293187'}
{'lat': 26.377673333, 'lng': 127.822413333, 'alt': 34.8, 'datetime': '2018-11-26 13:20:11.291871'}
{'lat': 26.377673333, 'lng': 127.822415, 'alt': 34.1, 'datetime': '2018-11-26 13:20:12.292455'}
{'lat': 26.377673333, 'lng': 127.822413333, 'alt': 33.3, 'datetime': '2018-11-26 13:20:13.292083'}
{'lat': 26.377675, 'lng': 127.822413333, 'alt': 32.7, 'datetime': '2018-11-26 13:20:14.765968'}
{'lat': 26.377676667, 'lng': 127.822411667, 'alt': 32.1, 'datetime': '2018-11-26 13:20:15.291379'}
{'lat': 26.377678333, 'lng': 127.82241, 'alt': 31.6, 'datetime': '2018-11-26 13:20:16.292290'}
{'lat': 26.37768, 'lng': 127.822406667, 'alt': 31.5, 'datetime': '2018-11-26 13:20:17.293951'}
{'lat': 26.377681667, 'lng': 127.822405, 'alt': 31.2, 'datetime': '2018-11-26 13:20:18.293202'}
{'lat': 26.377683333, 'lng': 127.822401667, 'alt': 31.0, 'datetime': '2018-11-26 13:20:19.764728'}
{'lat': 26.377685, 'lng': 127.822398333, 'alt': 30.8, 'datetime': '2018-11-26 13:20:20.316665'}
{'lat': 26.377686667, 'lng': 127.822396667, 'alt': 30.7, 'datetime': '2018-11-26 13:20:21.293865'}
{'lat': 26.377688333, 'lng': 127.822393333, 'alt': 30.7, 'datetime': '2018-11-26 13:20:22.295101'}
{'lat': 26.37769, 'lng': 127.822391667, 'alt': 30.7, 'datetime': '2018-11-26 13:20:23.292471'}
{'lat': 26.377691667, 'lng': 127.822388333, 'alt': 30.7, 'datetime': '2018-11-26 13:20:24.771398'}
{'lat': 26.377693333, 'lng': 127.822385, 'alt': 30.7, 'datetime': '2018-11-26 13:20:25.295653'}
{'lat': 26.377695, 'lng': 127.822383333, 'alt': 30.7, 'datetime': '2018-11-26 13:20:26.251011'}
{'lat': 26.377698333, 'lng': 127.822378333, 'alt': 30.8, 'datetime': '2018-11-26 13:20:27.995778'}
{'lat': 26.377698333, 'lng': 127.822378333, 'alt': 30.8, 'datetime': '2018-11-26 13:20:28.290642'}
{'lat': 26.3777, 'lng': 127.822373333, 'alt': 30.7, 'datetime': '2018-11-26 13:20:29.019211'}
{'lat': 26.3777, 'lng': 127.822373333, 'alt': 30.7, 'datetime': '2018-11-26 13:20:29.791361'}
{'lat': 26.377701667, 'lng': 127.82237, 'alt': 30.7, 'datetime': '2018-11-26 13:20:30.019643'}
{'lat': 26.377701667, 'lng': 127.82237, 'alt': 30.7, 'datetime': '2018-11-26 13:20:30.314488'}
{'lat': 26.377705, 'lng': 127.822366667, 'alt': 30.7, 'datetime': '2018-11-26 13:20:30.996543'}
{'lat': 26.377705, 'lng': 127.822366667, 'alt': 30.7, 'datetime': '2018-11-26 13:20:31.292837'}
{'lat': 26.377705, 'lng': 127.822363333, 'alt': 30.6, 'datetime': '2018-11-26 13:20:31.997309'}
{'lat': 26.377705, 'lng': 127.822363333, 'alt': 30.6, 'datetime': '2018-11-26 13:20:32.293297'}
{'lat': 26.377706667, 'lng': 127.822358333, 'alt': 30.8, 'datetime': '2018-11-26 13:20:32.997105'}
{'lat': 26.377706667, 'lng': 127.822358333, 'alt': 30.8, 'datetime': '2018-11-26 13:20:33.293375'}
{'lat': 26.377708333, 'lng': 127.822353333, 'alt': 30.9, 'datetime': '2018-11-26 13:20:33.995215'}
{'lat': 26.377708333, 'lng': 127.822353333, 'alt': 30.9, 'datetime': '2018-11-26 13:20:34.769760'}
{'lat': 26.37771, 'lng': 127.82235, 'alt': 30.9, 'datetime': '2018-11-26 13:20:34.997536'}
{'lat': 26.37771, 'lng': 127.82235, 'alt': 30.9, 'datetime': '2018-11-26 13:20:35.291768'}
{'lat': 26.377713333, 'lng': 127.822348333, 'alt': 31.0, 'datetime': '2018-11-26 13:20:35.998103'}
{'lat': 26.377713333, 'lng': 127.822348333, 'alt': 31.0, 'datetime': '2018-11-26 13:20:36.292571'}
{'lat': 26.377715, 'lng': 127.822345, 'alt': 31.1, 'datetime': '2018-11-26 13:20:36.997743'}
{'lat': 26.377715, 'lng': 127.822345, 'alt': 31.1, 'datetime': '2018-11-26 13:20:37.292666'}
{'lat': 26.377716667, 'lng': 127.82234, 'alt': 31.2, 'datetime': '2018-11-26 13:20:37.994230'}
{'lat': 26.377716667, 'lng': 127.82234, 'alt': 31.2, 'datetime': '2018-11-26 13:20:38.285007'}
{'lat': 26.37772, 'lng': 127.822338333, 'alt': 31.3, 'datetime': '2018-11-26 13:20:39.015750'}
{'lat': 26.37772, 'lng': 127.822338333, 'alt': 31.3, 'datetime': '2018-11-26 13:20:39.782746'}
{'lat': 26.377721667, 'lng': 127.822336667, 'alt': 31.3, 'datetime': '2018-11-26 13:20:39.995949'}
{'lat': 26.377721667, 'lng': 127.822336667, 'alt': 31.3, 'datetime': '2018-11-26 13:20:40.290789'}
{'lat': 26.377725, 'lng': 127.822335, 'alt': 31.4, 'datetime': '2018-11-26 13:20:40.995537'}
